Date,Time,Pond,Hydroperiod,Pond_Section,Sampling_Device,Opening_Area,Sample_Length,Net_Depth,Sample_Volume,Number_FS,Picture,Picture_File_Names,Salamanders_Present,Notes,
6/17/21,11:25,8,Semi-permanent,West(2),ZP Net ,0.058,8,Entire,0.464,16,N,NA,Y,Small holes at bottom of ZP Net,
6/17/21,11:25,8,Semi-permanent,North,VD,0.009,0.37,Entire,0.003,0,N,NA,Y,Fewer pond sections than in future,
6/17/21,11:25,8,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/17/21,11:25,8,Semi-permanent,South,ZP Net ,0.058,7,Entire,0.406,0,N,NA,Y,,
6/17/21,12:00,16,Temporary,West,ZP Net ,0.058,3,Entire,0.174,0,N,NA,N,,
6/17/21,12:00,16,Temporary,North,Not sampled,Not sampled,Not sampled,Entire,Not sampled,Not sampled,Not sampled,Not sampled,Not sampled,,
6/17/21,12:00,16,Temporary,East,ZP Net ,0.058,3,Entire,0.174,0,N,NA,N,,
6/17/21,12:00,16,Temporary,South,ZP Net ,0.058,3,Entire,0.174,0,N,NA,N,,
6/18/21,11:15,8,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,ZP Net holes sewn,
6/18/21,11:15,8,Semi-permanent,West(2),ZP Net ,0.058,8,Entire,0.464,1,Y,061821_8_West(2)_01.JPG,Y,Written date wrong in all photos today (says 6/17),
6/18/21,11:15,8,Semi-permanent,West(3),ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/18/21,11:15,8,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/18/21,11:15,8,Semi-permanent,East(2),ZP Net ,0.058,8,Entire,0.464,9,Y,061821_8_East(2)_01.JPG,Y,One FS in North photo,
6/18/21,11:15,8,Semi-permanent,East(3),ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/18/21,11:15,8,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,1,Y,061821_8_North_01.JPG,Y,Second smaller FS belongs to East(2),
6/18/21,11:15,8,Semi-permanent,South,Not sampled,Not sampled,Not sampled,Entire,Not sampled,Not sampled,Not sampled,Not sampled,Not sampled,,
6/18/21,13:40,11,Semi-permanent,East,D Net,0.065,1,Entire,0.065,1,Y,061821_11_East_01.JPG,N,,
6/18/21,13:40,11,Semi-permanent,East(2),ZP Net ,0.058,8,Entire,0.464,16,Y,061821_11_East(2)_01.JPG,N,,
6/18/21,13:40,11,Semi-permanent,South,D Net,0.065,2,Entire,0.130,2,Y,061821_11_South_01.JPG,N,,
6/18/21,13:40,11,Semi-permanent,West,D Net,0.065,3,Entire,0.195,4,Y,061821_11_West_01.JPG,N,,
6/18/21,13:40,11,Semi-permanent,North,ZP Net ,0.058,4,Entire,0.232,5,Y,061821_11_North_01.JPG,N,,
6/18/21,13:40,11,Semi-permanent,North(2),D Net,0.065,1,Entire,0.065,2,Y,061821_11_North(2)_01.JPG,N,,
6/18/21,13:40,11,Semi-permanent,North(3),ZP Net ,0.058,8,Entire,0.464,2,Y,061821_11_North(3)_01.JPG,N,,
6/18/21,14:30,13,Temporary,North,ZP Net ,0.058,5,Entire,0.290,Count,Y (5),"061821_13_North_01.JPG, 061821_13_North_02.JPG, 061821_13_North_03.JPG, 061821_13_North_04.JPG, 061821_13_North_05.JPG",N,,
6/18/21,14:30,13,Temporary,East,ZP Net ,0.058,4,Entire,0.232,Count,Y (2),"061821_13_East_01.JPG, 061821_13_East_02.JPG",N,,
6/18/21,14:30,13,Temporary,South,D Net,0.065,4,Entire,0.260,Count,Y (2),"061821_13_South_01.JPG, 061821_13_South_02.JPG",N,,
6/21/21,10:10,6,Semi-permanent,North,ZP Net ,0.058,7,Entire,0.406,1,Y,062121_6_North_01.JPG,Y,Can see at least one meta,
6/21/21,10:10,6,Semi-permanent,East,ZP Net ,0.058,7,Entire,0.406,2,Y,062121_6_East_01.JPG,Y,,
6/21/21,10:10,6,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,1,Y,062121_6_West_01.JPG,Y,,
6/21/21,10:10,6,Semi-permanent,South,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/21/21,10:41,10,Semi-permanent,South,ZP Net ,0.058,7,Entire,0.406,7,Y,062121_10_South_01.JPG,Y,At least two salamanders,
6/21/21,10:41,10,Semi-permanent,South(2),ZP Net ,0.058,8,Entire,0.464,4,Y,062121_10_South(2)_01.JPG,Y,,
6/21/21,10:41,10,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,1,Y,062121_10_West_01.JPG,Y,,
6/21/21,10:41,10,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,1,Y,062121_10_East_01.JPG,Y,,
6/21/21,10:41,10,Semi-permanent,North,ZP Net ,0.058,6,Entire,0.348,13,Y,062121_10_North_01.JPG,Y,Sample dragged in benthos. More FS as a result??,
6/21/21,11:35,15,Temporary,South,ZP Net ,0.058,6,Entire,0.348,Count,Y (3),"062121_15_South_01.JPG, 062121_15_South_02.JPG, 062121_15_South_03.JPG",N,Sampling rest of pond after lunch break,
6/21/21,12:20,15,Temporary,West,ZP Net ,0.058,6,Entire,0.348,Count,Y (2),"062121_15_West_01.JPG, 062121_15_West_02.JPG",N,,
6/21/21,12:20,15,Temporary,North,ZP Net ,0.058,4,Entire,0.232,Count,Y (2),"062121_15_North_01.JPG, 062121_15_North_02.JPG",N,,
6/21/21,12:20,15,Temporary,East,ZP Net ,0.058,4,Entire,0.232,Count,Y (4),"062121_15_East_01.JPG, 062121_15_East_02.JPG, 062121_15_East_03.JPG, 062121_15_East_04.JPG ",N,,
6/22/21,10:20,9,Permanent ,North(2),ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/22/21,10:20,9,Permanent ,North,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/22/21,10:20,9,Permanent ,West,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/22/21,10:20,9,Permanent ,South,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/22/21,10:20,9,Permanent ,South(2),ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/22/21,11:00,44,Semi-permanent,South,D Net,0.065,2,Entire,0.130,0,N,NA,Y,old pond 1a,
6/22/21,11:00,44,Semi-permanent,South(2),D Net,0.065,2,Entire,0.130,0,N,NA,Y,,
6/22/21,11:00,44,Semi-permanent,North,D Net,0.065,2,Entire,0.130,0,N,NA,Y,,
6/22/21,11:17,2,Semi-permanent,North,D Net,0.065,1,Entire,0.065,0,N,NA,Y,semi-permanent pond with small permanent center…? See map,
6/22/21,11:17,2,Semi-permanent,West,D Net,0.065,1,Entire,0.065,0,N,NA,Y,,
6/22/21,11:32,3,Permanent ,North,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/22/21,11:32,3,Permanent ,East,ZP Net ,0.058,4,Entire,0.232,0,N,NA,Y,,
6/22/21,11:32,3,Permanent ,South,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/22/21,11:32,3,Permanent ,West,ZP Net ,0.058,4,Entire,0.232,0,N,NA,Y,,
6/22/21,11:45,4,Semi-permanent,South,ZP Net ,0.058,3,Entire,0.174,0,N,NA,Y,,
6/22/21,11:45,4,Semi-permanent,North,ZP Net ,0.058,3,Entire,0.174,0,N,NA,Y,,
6/22/21,13:23,51,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,Count,Y (3),"062221_51_North_01.JPG, 062221_51_North_02.JPG, 062221_51_North_03.JPG",N,,
6/22/21,13:23,51,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,6,Y,062221_51_West_01.JPG,N,,
6/22/21,13:23,51,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,8,Y,062221_51_East_01.JPG,N,,
6/22/21,13:23,51,Semi-permanent,South,ZP Net ,0.058,8,Entire,0.464,Count,Y,062221_51_South_01.JPG,N,,
6/22/21,14:07,52,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,Count,Y,062221_52_North_01.JPG,N,FS in pottle,
6/22/21,14:07,52,Semi-permanent,North(2),ZP Net ,0.058,8,Entire,0.464,Count,Y,062221_52_North(2)_01.JPG,N,,
6/22/21,14:07,52,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,Count,Y,062221_52_West_01.JPG,N,Big tray picture,
6/22/21,14:07,52,Semi-permanent,South,ZP Net ,0.058,8,Entire,0.464,Count,Y (3),"062221_52_South_01.JPG, 062221_52_South_02.JPG, 062221_52_South_03.JPG",N,,
6/22/21,14:07,52,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,Count,Y,062221_52_East_01.JPG,N,,
6/24/21,10:07,8,Semi-permanent,West(3),ZP Net ,0.058,8,Entire,0.464,Count,Y,062421_8_West(3)_01.JPG,Y,,
6/24/21,10:07,8,Semi-permanent,West(2),ZP Net ,0.058,8,Entire,0.464,2,Y,062421_8_West(2)_01.JPG,Y,,
6/24/21,10:07,8,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,3,Y,062421_8_West_01.JPG,Y,,
6/24/21,10:07,8,Semi-permanent,South,ZP Net ,0.058,8,Entire,0.464,2,Y,062421_8_South_01.JPG,Y,,
6/24/21,10:07,8,Semi-permanent,East(3),ZP Net ,0.058,8,Entire,0.464,2,Y,062421_8_East(3)_01.JPG,Y,,
6/24/21,10:07,8,Semi-permanent,East(2),ZP Net ,0.058,8,Entire,0.464,1,Y,062421_8_East(2)_01.JPG,Y,,
6/24/21,10:07,8,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,6,Y,062421_8_East_01.JPG,Y,,
6/24/21,10:07,8,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,6,Y,062421_8_North_01.JPG,Y,,
6/24/21,10:50,7,Temporary,North,D Net,0.052,2,0.19,0.104,0,N,NA,N,,
6/24/21,10:50,7,Temporary,South,D Net,0.048,2,0.17,0.096,0,N,NA,N,,
6/24/21,11:05,10,Semi-permanent,South,ZP Net ,0.058,8,Entire,0.464,2,Y,062421_10_South_01.JPG,Y,,
6/24/21,11:05,10,Semi-permanent,South(2),ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/24/21,11:05,10,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,Count,Y,062421_10_West_01.JPG,Y,,
6/24/21,11:05,10,Semi-permanent,North,ZP Net ,0.058,6,Entire,0.348,2,Y,062421_10_North_01.JPG,Y,,
6/24/21,11:05,10,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,1,Y,062421_10_East_01.JPG,Y,,
6/24/21,11:44,56,Semi-permanent,South(2),ZP Net ,0.058,8,Entire,0.464,0,N,NA,N,,
6/24/21,11:44,56,Semi-permanent,South,ZP Net ,0.058,8,Entire,0.464,0,N,NA,N,,
6/24/21,11:44,56,Semi-permanent,West(2),ZP Net ,0.058,8,Entire,0.464,0,N,NA,N,,
6/24/21,11:44,56,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,0,N,NA,N,,
6/24/21,11:44,56,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,0,N,NA,N,,
6/24/21,11:44,56,Semi-permanent,East(2),ZP Net ,0.058,8,Entire,0.464,0,N,NA,N,,
6/24/21,11:44,56,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,0,N,NA,N,,
6/24/21,12:10,55,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,0,N,NA,N,1 small fairy shrimp from 1m D Net sweep for caddis on South side ,
6/24/21,12:10,55,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,0,N,NA,N,,
6/24/21,12:10,55,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,0,N,NA,N,,
6/24/21,12:10,55,Semi-permanent,South,ZP Net ,0.058,8,Entire,0.464,0,N,NA,N,,
6/25/21,8:43,11,Semi-permanent,South,ZP Net ,0.058,8,Entire,0.464,Count,Y (2),"062521_11_South_01.JPG, 062521_11_South_02.JPG",UNK,"Rainy last night, probable metamorph movement. Pottle with fs from this section.",
6/25/21,8:43,11,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,Count,Y,062521_11_East_01.JPG,UNK,Big tray picture ,
6/25/21,8:43,11,Semi-permanent,North(3),ZP Net ,0.058,8,Entire,0.464,Count,Y,062521_11_North(3)_01.JPG,UNK,Did fewer sections at pond 11 due to lower water depth,
6/25/21,8:43,11,Semi-permanent,North(2),D Net,0.065,1,Entire,0.065,Count,Y,062521_11_North(2)_01.JPG,UNK,,
6/25/21,8:43,11,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,Count,Y,062521_11_North_01.JPG,UNK,Big tray picture,
6/25/21,9:29,13,Temporary,North,D Net,0.048,2,0.17,0.096,Count,Y,062521_13_North_01.JPG,Y (other day at least),,
6/25/21,9:29,13,Temporary,East,D Net,0.065,2,Entire,0.130,Count,Y (8),"062521_13_East_01.JPG, 062521_13_East_02.JPG, 062521_13_East_03.JPG, 062521_13_East_04.JPG, 062521_13_East_05.JPG, 062521_13_East_06.JPG, 062521_13_East_07.JPG, 062521_13_East_08.JPG",Y (other day at least),,
6/25/21,9:29,13,Temporary,South,D Net,0.04,2,0.14,0.080,Count,Y,062521_13_South_01.JPG,Y (other day at least),,
6/25/21,10:20,6,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,2,Y,062521_6_West_01.JPG,Y,,
6/25/21,10:20,6,Semi-permanent,South,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/25/21,10:20,6,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,1,Y,062521_6_North_01.JPG,Y,,
6/25/21,10:20,6,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/25/21,10:40,15,Temporary,West,ZP Net ,0.058,5,Entire,0.290,Count,Y,062521_15_West_01.JPG,N,,
6/25/21,10:40,15,Temporary,North,ZP Net ,0.058,4,Entire,0.232,Count,Y,062521_15_North_01.JPG,N,,
6/25/21,10:40,15,Temporary,East,ZP Net ,0.058,4,Entire,0.232,Count,Y,062521_15_East_01.JPG,N,,
6/25/21,10:40,15,Temporary,South,ZP Net ,0.058,5,Entire,0.290,Count,Y (2),"062521_15_South_01.JPG, 062521_15_South_02.JPG",N,,
6/29/21,9:50,8,Semi-permanent,West(3),ZP Net ,0.058,8,Entire,0.464,Count,Y,062921_8_West(3)_01.JPG,Y,,
6/29/21,9:50,8,Semi-permanent,West(2),ZP Net ,0.058,8,Entire,0.464,8,Y,062921_8_West(2)_01.JPG,Y,,
6/29/21,9:50,8,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,Count,Y (2),062921_8_West_01.JPG,Y,,
6/29/21,9:50,8,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,9,Y,062921_8_North_01.JPG,Y,,
6/29/21,9:50,8,Semi-permanent,South,ZP Net ,0.058,8,Entire,0.464,6,Y,062921_8_South_01.JPG,Y,,
6/29/21,9:50,8,Semi-permanent,East(3),ZP Net ,0.058,8,Entire,0.464,5,Y,062921_8_East(3)_01.JPG,Y,,
6/29/21,9:50,8,Semi-permanent,East(2),ZP Net ,0.058,8,Entire,0.464,11,Y,062921_8_East(2)_01.JPG,Y,,
6/29/21,9:50,8,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,5,Y,062921_8_East_01.JPG,Y,,
6/29/21,10:23,9,Permanent ,South,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,Chaborus present in numerous pond sections ,
6/29/21,10:23,9,Permanent ,South(2),ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/29/21,10:23,9,Permanent ,West,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/29/21,10:23,9,Permanent ,North,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/29/21,10:23,9,Permanent ,North(2),ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/29/21,10:38,10,Semi-permanent,South,ZP Net ,0.058,8,Entire,0.464,3,Y,062921_10_South_01.JPG,Y,,
6/29/21,10:38,10,Semi-permanent,South(2),ZP Net ,0.058,8,Entire,0.464,Count,Y,062921_10_South(2)_01.JPG,Y,,
6/29/21,10:38,10,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,13,Y,062921_10_West_01.JPG,Y,,
6/29/21,10:38,10,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,5,Y,062921_10_North_01.JPG,Y,,
6/29/21,10:38,10,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,7,Y,062921_10_East_01.JPG,Y,,
6/29/21,11:10,51,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,Count,Y,062921_51_North_01.JPG,N,Big tray picture,
6/29/21,11:10,51,Semi-permanent,West,ZP Net ,0.058,8,Variable,0.438,Count,Y (15),"062921_51_West_01.JPG, 062921_51_West_02.JPG, 062921_51_West_03.JPG, 062921_51_West_04.JPG, 062921_51_West_05.JPG, 062921_51_West_06.JPG, 062921_51_West_07.JPG, 062921_51_West_08.JPG, 062921_51_West_09.JPG, 062921_51_West_10.JPG, 062921_51_West_11.JPG, 062921_51_West_12.JPG, 062921_51_West_13.JPG, 062921_51_West_14.JPG, 062921_51_West_15.JPG, ",N,ZP Net a few inches out of the water during last few meters of net throw ,
6/29/21,11:10,51,Semi-permanent,South,ZP Net ,0.058,8,Variable,0.438,Count,Y (2),"062921_51_South_01.JPG, 062921_51_South_02.JPG",N,ZP Net a few inches out of the water during last few meters of net throw ,
6/29/21,11:10,51,Semi-permanent,East,ZP Net ,0.058,8,Variable,0.438,Count,Y (5),062921_51_East_01.JPG,N,ZP Net a few inches out of the water during last few meters of net throw ,
6/30/21,9:55,55,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,1,Y,063021_55_North_01.JPG,N,,
6/30/21,9:55,55,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,0,N,NA,N,,
6/30/21,9:55,55,Semi-permanent,South,ZP Net ,0.058,8,Entire,0.464,1,Y,063021_55_South_01.JPG,N,,
6/30/21,9:55,55,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,1,Y,063021_55_West_01.JPG,N,,
6/30/21,10:20,52,Semi-permanent,South,ZP Net ,0.011,8,0.21,0.088,8,Y,063021_52_South_01.JPG,Y,At least two metas in south part of pond. One looks decently fat. ,
6/30/21,10:20,52,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,Count,Y (4),"063021_52_North_01.JPG, 063021_52_North_02.JPG, 063021_52_North_03.JPG, 063021_52_North_04.JPG",Y,4 tray pics,
6/30/21,10:20,52,Semi-permanent,North(2),ZP Net ,0.011,8,0.21,0.088,14,Y,063021_52_North(2)_01.JPG,Y,,
6/30/21,10:20,52,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,Count,Y,063021_52_West_01.JPG,Y,,
6/30/21,10:20,52,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,7,Y,063021_52_East_01.JPG,Y,,
6/30/21,12:00,6,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,8,Y,063021_6_West_01.JPG,Y,,
6/30/21,12:00,6,Semi-permanent,South,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/30/21,12:00,6,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/30/21,12:00,6,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,1,Y,063021_6_East_01.JPG,Y,,
6/30/21,12:11,15,Temporary,West,ZP Net ,0.058,5,Entire,0.290,Count,Y,063021_15_West_01.JPG,N,,
6/30/21,12:11,15,Temporary,North,ZP Net ,0.058,4,Entire,0.232,Count,Y,063021_15_North_01.JPG,N,,
6/30/21,12:11,15,Temporary,East,ZP Net ,0.058,4,Entire,0.232,Count,Y,063021_15_East_01.JPG,N,,
6/30/21,12:11,15,Temporary,South,ZP Net ,0.058,4,Variable,0.219,Count,Y,063021_15_South_01.JPG,N,Net a few inches out of water at end of tow ,
6/30/21,12:30,13,Temporary,North,D Net,0.057,2,0.21,0.114,Count,Y,063021_13_North_01.JPG,N,,
