Treatment,Replicate,Consumption_Time,FS_10_Min,FS_20_Min,FS_Eaten,Initials,Notes
L FS,5,0:00,9,8,0,EJ,Conducted 7/12/22 in the afternoon
L FS,5,0:25,9,8,1,EJ,
L FS,5,20:00,9,8,2,EJ,
N FS,5,0:00,5,1,0,EJ,
N FS,5,2:05,5,1,1,EJ,
N FS,5,2:30,5,1,2,EJ,
N FS,5,3:12,5,1,3,EJ,
N FS,5,6:26,5,1,4,EJ,
N FS,5,8:37,5,1,5,EJ,
N FS,5,20:00,5,1,9,EJ,
M FS,4,0:00,9,8,0,PB,
M FS,4,3:31,9,8,1,PB,
M FS,4,20:00,9,8,2,PB,
H FS,4,0:00,6,2,0,PB,
H FS,4,1:32,6,2,1,PB,
H FS,4,2:08,6,2,2,PB,
H FS,4,5:16,6,2,3,PB,
H FS,4,8:18,6,2,4,PB,
H FS,4,20:00,6,2,8,PB,
H FS,3,0:00,3,1,0,PB,
H FS,3,3:25,3,1,1,PB,
H FS,3,5:18,3,1,2,PB,
H FS,3,6:38,3,1,3,PB,
H FS,3,6:49,3,1,4,PB,
H FS,3,7:30,3,1,5,PB,
H FS,3,8:41,3,1,6,PB,
H FS,3,9:10,3,1,7,PB,
H FS,3,20:00,3,1,9,PB,
H FS,1,0:00,10,10,0,GB,
H FS,1,10:00,10,10,0,GB,
H FS,1,20:00,10,10,0,GB,
L FS,2,0:00,4,3,0,GB,
L FS,2,1:05,4,3,1,GB,
L FS,2,2:23,4,3,2,GB,
L FS,2,4:22,4,3,3,GB,
L FS,2,4:49,4,3,4,GB,
L FS,2,6:23,4,3,5,GB,
L FS,2,7:14,4,3,6,GB,
L FS,2,20:00,4,3,7,GB,
M FS,1,0:00,5,0,0,GB,
M FS,1,2:06,5,0,1,GB,
M FS,1,2:44,5,0,2,GB,
M FS,1,5:32,5,0,3,GB,
M FS,1,8:50,5,0,4,GB,
M FS,1,9:59,5,0,5,GB,
M FS,1,20:00,5,0,10,GB,
N FS,1,0:00,8,2,0,MT,
N FS,1,1:26,8,2,1,MT,
N FS,1,6:49,8,2,2,MT,
N FS,1,20:00,8,2,8,MT,
L FS,1,0:00,5,2,0,MT,
L FS,1,3:08,5,2,1,MT,
L FS,1,4:35,5,2,2,MT,
L FS,1,5:02,5,2,3,MT,
L FS,1,6:49,5,2,4,MT,
L FS,1,8:44,5,2,5,MT,
L FS,1,20:00,5,2,8,MT,
N FS,2,0:00,3,0,0,MT,
N FS,2,1:58,3,0,1,MT,
N FS,2,2:19,3,0,2,MT,
N FS,2,4:15,3,0,3,MT,
N FS,2,4:32,3,0,4,MT,
N FS,2,7:28,3,0,5,MT,
N FS,2,7:37,3,0,6,MT,
N FS,2,9:57,3,0,7,MT,
N FS,2,20:00,3,0,10,MT,
M FS,2,0:00,5,3,0,JAB,
M FS,2,0:52,5,3,1,JAB,
M FS,2,1:20,5,3,2,JAB,
M FS,2,3:15,5,3,3,JAB,
M FS,2,7:30,5,3,4,JAB,
M FS,2,9:40,5,3,5,JAB,
M FS,2,20:00,5,3,7,JAB,
H FS,2,0:00,8,3,0,JAB,
H FS,2,1:42,8,3,1,JAB,
H FS,2,7:40,8,3,2,JAB,
H FS,2,20:00,8,3,7,JAB,
N FS,3,0:00,6,3,0,JAB,
N FS,3,3:13,6,3,1,JAB,
N FS,3,3:50,6,3,2,JAB,
N FS,3,4:26,6,3,3,JAB,
N FS,3,9:36,6,3,4,JAB,
N FS,3,20:00,6,3,7,JAB,
H FS,5,0:00,5,2,0,HG,"Of the 5 FS left after 10 minutes, 1 was being eaten by Asynarchus"
H FS,5,0:34,5,2,1,HG,
H FS,5,4:22,5,2,2,HG,
H FS,5,7:08,5,2,3,HG,
H FS,5,8:16,5,2,4,HG,
H FS,5,9:24,5,2,5,HG,
H FS,5,20:00,5,2,8,HG,
M FS,5,0:00,10,4,0,HG,"misses at 0:32, 0:53, 9:00"
M FS,5,10:00,10,4,0,HG,
M FS,5,20:00,10,4,6,HG,
M FS,3,0:00,7,1,0,HG,
M FS,3,0:22,7,1,1,HG,
M FS,3,5:32,7,1,2,HG,
M FS,3,6:29,7,1,3,HG,
M FS,3,20:00,7,1,9,HG,
N FS,4,0:00,4,1,0,AK,
N FS,4,1:11,4,1,1,AK,
N FS,4,2:13,4,1,2,AK,
N FS,4,5:29,4,1,3,AK,
N FS,4,6:20,4,1,4,AK,
N FS,4,7:07,4,1,5,AK,
N FS,4,10:00,4,1,6,AK,
N FS,4,20:00,4,1,9,AK,
L FS,4,0:00,3,0,0,AK,
L FS,4,0:46,3,0,1,AK,
L FS,4,1:59,3,0,2,AK,
L FS,4,2:45,3,0,3,AK,
L FS,4,5:29,3,0,4,AK,
L FS,4,6:42,3,0,5,AK,
L FS,4,8:28,3,0,6,AK,
L FS,4,9:15,3,0,7,AK,
L FS,4,20:00,3,0,10,AK,
L FS,3,0:00,5,3,0,AK,"Of the 3 FS left after 20 minutes, 2 were being eaten by Asynarchus"
L FS,3,4:13,5,3,1,AK,
L FS,3,5:44,5,3,2,AK,
L FS,3,5:58,5,3,3,AK,
L FS,3,7:22,5,3,4,AK,
L FS,3,9:19,5,3,5,AK,
L FS,3,20:00,5,3,7,AK,