Date,Sample_ID,Salamander_ID,ID_Type,Pond,Number_Vials,Notes
7/12/21,1,597,Toe,52,1,
7/12/21,2,2304,Toe,52,1,
7/12/21,3,982000365435014,Pit,52,1,
7/12/21,4,122A,Toe,52,1,
7/12/21,5,9898,Toe,52,1,
7/12/21,6,985170001736603,Pit,52,1,
7/12/21,7,4358642219,Pit,52,1,
7/12/21,8,702D,Toe,52,1,
7/12/21,9,982000167208175,Pit,52,1,
7/12/21,10,982000167212269,Pit,51,1,
7/12/21,11,982000167211662,Pit,15,1,
7/12/21,12,900118000003084,Pit,13,1,
7/12/21,13,982000167201639,Pit,13,1,
7/12/21,14,900118000002890,Pit,11,1,
7/12/21,15,71B,Toe,11,1,
7/12/21,16,985170001765443,Pit,11,1,
7/12/21,17,982000365435107,Pit,11,1,
7/12/21,18,985170001764252,Pit,11,1,
7/12/21,19,1370,Toe,11,1,
7/12/21,20,982000167212734,Pit,6,1,
7/12/21,21,985170001727662,Pit,6,1,
7/12/21,22,8424,Toe,6,1,
7/12/21,23,985170001889645,Pit,6,1,
7/12/21,24,982126054418822,Pit,6,1,
7/12/21,25,985170001972439,Pit,6,1,
7/12/21,26,24B,Toe,10,1,
7/12/21,27,982000167212665,Pit,10,1,
7/12/21,28,982126054418841,Pit,10,1,
7/12/21,29,982000167209009,Pit,10,1,
7/12/21,30,434D432441,Pit,8,1,
7/12/21,31,210B,Toe,8,1,
7/12/21,32,3001B,Toe,8,1,
7/12/21,33,101B,Toe,8,1,
7/12/21,34,900118000002982,Pit,8,1,
7/12/21,35,3100,Toe,8,1,
7/27/21,36,982000167205273,Pit,11,1,
7/27/21,37,900118000002890,Pit,11,1,
7/27/21,38,982000365435107,Pit,11,1,
7/27/21,39,71B,Toe,11,1,
7/27/21,40,9812,Toe,11,1,
7/27/21,41,9441,Toe,10,1,
7/27/21,42,2304A,Toe,52,1,
7/27/21,43,7934,Toe,52,1,
7/27/21,44,5902,Toe,52,1,
7/27/21,45,7,Toe,52,1,
7/27/21,46,4358642219,Pit,52,1,
7/27/21,47,435928254A,Pit,52,1,
7/27/21,48,9898,Toe,52,1,Hard lump in stomach that can't get out — Anax (dragonfly) larva?
7/27/21,49,900118000002907,Pit,15,1,
7/27/21,50,985170001696220,Pit,15,1,
7/27/21,51,985170001972439,Pit,6,1,
7/27/21,52,340C,Toe,8,1,
7/27/21,53,1492,Toe,8,1,
7/27/21,54,3100,Toe,8,1,
7/27/21,55,900118000002982,Pit,8,1,Dytiscus larva in gut contents
7/27/21,56,900118000002813,Pit,8,1,
7/27/21,57,982000167211952,Pit,12,1,Paedo
7/27/21,58,43517E797D,Pit,12,1,Paedo
7/27/21,59,982000167195232,Pit,12,1,Paedo
7/27/21,60,985170001704292,Pit,12,1,Paedo
7/27/21,61,900118000003009,Pit,12,1,Paedo
7/27/21,62,982000365434934,Pit,12,1,Paedo
7/11/22,1,982091066167345,Pit,8,1,N FS 1
7/11/22,2,982000167212133,Pit,8,1,N FS 4
7/11/22,3,982091066165252,Pit,8,1,N FS 3
7/11/22,4,900118000002910,Pit,8,1,L FS 5
7/11/22,5,982000167212734,Pit,8,1,N FS 5
7/11/22,6,982091066167420,Pit,8,1,Too small for experiment
7/11/22,7,982000167211706,Pit,8,1,H FS 3
7/11/22,8,900118000002846,Pit,8,1,L FS 2
7/11/22,9,982000365434928,Pit,8,1,L FS 3
7/11/22,10,982000167193199,Pit,8,1,M FS 4
7/11/22,11,900118000002813,Pit,8,1,M FS 5
7/11/22,12,982000167194693,Pit,8,1,H FS 4
7/11/22,13,982000167194011,Pit,8,1,M FS 1
7/11/22,14,982000365435045,Pit,8,1,L FS 1
7/11/22,15,982091066167278,Pit,8,1,H FS 5
7/11/22,16,982091066165094,Pit,8,1,H FS 2
7/11/22,17,985170002017106,Pit,8,1,H FS 1
7/11/22,18,982091066167332,Pit,8,1,M FS 2
7/11/22,19,985170001800545,Pit,8,1,M FS 3
7/11/22,20,982091066167290,Pit,8,1,L FS 4
7/11/22,21,982000365434890,Pit,8,1,N FS 2
7/11/22,22,982091066167264,Pit,15,1,Not an experiment animal
7/11/22,23,900118000002907,Pit,15,1,Not an experiment animal
7/25/22,24,982000365435090,Pit,11,1,
7/25/22,25,982000167210468,Pit,13,1,
7/25/22,26,982091066164836,Pit,13,1,TBD 1 (not pit tagged yet)
7/25/22,27,900118000003084,Pit,13,1,
7/25/22,28,982091066165118,Pit,15,1,
7/25/22,29,982091066164617,Pit,15,1,
7/25/22,30,900118000002907,Pit,15,1,
7/25/22,31,982000167211662,Pit,15,1,
7/25/22,32,900118000002910,Pit,8,1,
7/25/22,33,900118000002813,Pit,8,1,
7/25/22,34,982091066165094,Pit,8,1,
7/25/22,35,1004E,UNK,8,1,
7/25/22,36,434D432441,UNK,8,1,
7/25/22,37,982126054418841,Pit,10,1,
7/25/22,38,982091066164847,Pit,56,1,TBD 2 (not pit tagged yet)
7/25/22,39,702D,UNK,52,1,
7/25/22,40,7,UNK,52,1,
7/25/22,41,985170001736603,Pit,52,1,